role,rank,panel,piece,window_start,window_end,window_margin_mean,window_margin_median,casm_direct_exact,window_f1__casm_full,window_count__casm_full,track_f1__casm_full,window_f1__direct,window_count__direct,track_f1__direct,window_f1__dbn_default,window_count__dbn_default,track_f1__dbn_default,window_f1__dbn_matched_30_300,window_count__dbn_matched_30_300,track_f1__dbn_matched_30_300,window_f1__plpdp,window_count__plpdp,track_f1__plpdp
clear,1,bt_smc_oof,smc/smc_036/track.npy,19.25,31.25,0.14175067842006683,0.1381850391626358,False,1.0,13,0.813953488372093,0.7222222222222222,23,0.736842105263158,0.6842105263157895,25,0.5945945945945945,0.6842105263157895,25,0.5945945945945945,0.6842105263157895,25,0.7142857142857143
clear,2,bt_smc_oof,smc/smc_001/track.npy,17.25,29.25,0.2915443181991577,0.29161766171455383,False,0.7777777777777778,9,0.6376811594202899,0.6363636363636364,13,0.5945945945945946,0.3684210526315789,29,0.4107142857142857,0.3684210526315789,29,0.4107142857142857,0.3783783783783784,28,0.3859649122807018
clear,3,bt_smc_oof,smc/smc_219/track.npy,15.5,27.5,0.06999779492616653,0.054258860647678375,False,0.9032258064516129,16,0.8484848484848485,0.7878787878787878,18,0.8076923076923076,0.47058823529411764,19,0.4375,0.17391304347826086,8,0.4166666666666667,0.7647058823529411,19,0.7692307692307693
clear,4,bt_smc_oof,smc/smc_048/track.npy,10.5,22.5,0.05090215429663658,0.04772857204079628,False,0.7692307692307693,6,0.5116279069767442,0.6153846153846154,6,0.5,0.3,13,0.3389830508474576,0.46153846153846156,6,0.5,0.6153846153846154,6,0.3913043478260869
clear,5,bt_smc_oof,smc/smc_006/track.npy,19.75,31.75,0.23577535152435303,0.22233805060386658,False,0.9,9,0.8437499999999999,0.8,9,0.8571428571428571,0.5384615384615384,15,0.475,0.7619047619047619,10,0.7272727272727272,0.782608695652174,12,0.8529411764705882
clear,6,bt_smc_oof,smc/smc_098/track.npy,6.5,18.5,0.18128077685832977,0.20010480284690857,False,0.8,19,0.7401574803149606,0.7,24,0.7014925373134329,0.509090909090909,39,0.5575757575757575,0.509090909090909,39,0.5575757575757575,0.6666666666666666,26,0.6527777777777778
clear,7,bt_smc_oof,smc/smc_019/track.npy,19.25,31.25,0.20094521343708038,0.19030849635601044,False,1.0,8,0.8846153846153846,0.9411764705882353,9,0.8679245283018869,0.64,17,0.6,0.64,17,0.6,0.6666666666666666,16,0.676470588235294
clear,8,bt_smc_oof,smc/smc_221/track.npy,18.25,30.25,0.2987563908100128,0.3228834271430969,False,0.7272727272727273,11,0.5172413793103449,0.64,14,0.4918032786885246,0.375,21,0.3058823529411765,0.5,9,0.3272727272727273,0.5517241379310345,18,0.3733333333333333
clear,9,bt_smc_oof,smc/smc_117/track.npy,10.5,22.5,0.0892852321267128,0.10615599155426025,False,0.8333333333333334,12,0.684931506849315,0.782608695652174,11,0.647887323943662,0.1935483870967742,19,0.2068965517241379,0.19047619047619047,9,0.2295081967213114,0.7692307692307693,14,0.5822784810126581
clear,10,bt_smc_oof,smc/smc_042/track.npy,15.0,27.0,0.47010207176208496,0.4685232639312744,False,0.8888888888888888,9,0.8333333333333334,0.8421052631578947,10,0.8333333333333334,0.5714285714285714,19,0.6,0.5714285714285714,19,0.6,0.5714285714285714,19,0.6075949367088607
clear,11,bt_smc_oof,smc/smc_076/track.npy,6.5,18.5,0.08393345773220062,0.05849877744913101,False,0.7096774193548387,13,0.46938775510204084,0.6285714285714286,17,0.4646464646464646,0.38095238095238093,24,0.2931034482758621,0.23076923076923078,8,0.1470588235294117,0.5365853658536586,23,0.4
clear,12,bt_smc_oof,smc/smc_012/track.npy,15.25,27.25,0.09300407767295837,0.0969434455037117,False,0.5945945945945946,20,0.576923076923077,0.5,19,0.5471698113207548,0.17647058823529413,17,0.4901960784313725,0.17647058823529413,17,0.4901960784313725,0.46511627906976744,26,0.5217391304347826
clear,13,bt_smc_oof,smc/smc_011/track.npy,14.25,26.25,0.23731036484241486,0.24434904754161835,False,0.9142857142857143,18,0.8301886792452831,0.8421052631578947,21,0.7652173913043478,0.7222222222222222,19,0.7102803738317757,0.7222222222222222,19,0.7102803738317757,0.7692307692307693,22,0.7478260869565218
clear,14,bt_smc_oof,smc/smc_260/track.npy,13.25,25.25,0.22955258190631866,0.23763835430145264,False,0.8484848484848485,18,0.8288288288288289,0.8125,17,0.8440366972477065,0.3333333333333333,15,0.660377358490566,0.3333333333333333,15,0.660377358490566,0.7647058823529411,19,0.7833333333333334
clear,15,bt_smc_oof,smc/smc_208/track.npy,16.0,28.0,0.2158285528421402,0.2075394243001938,False,0.9,10,0.8387096774193549,0.8571428571428571,11,0.8125,0.42424242424242425,23,0.4731182795698926,0.8,10,0.7741935483870968,0.5806451612903226,21,0.6190476190476191
clear,16,bt_smc_oof,smc/smc_004/track.npy,6.5,18.5,0.24271272122859955,0.2210468202829361,False,0.9565217391304348,12,0.59375,0.9090909090909091,11,0.5714285714285713,0.75,13,0.368421052631579,0.75,13,0.4225352112676056,0.8,14,0.625
clear,17,bt_smc_oof,smc/smc_022/track.npy,9.25,21.25,0.15375903248786926,0.16520728170871735,False,0.8695652173913043,12,0.9610389610389611,0.8333333333333334,13,0.9487179487179488,0.4166666666666667,13,0.7341772151898733,0.43478260869565216,12,0.7631578947368421,0.8,14,0.925
