piece,dataset,source_path,candidate_count,direct_count,structured_count,final_count,count_ratio,beat_fallback,direct_casm_agreement,period_margin_mean,period_margin_median,period_margin_q10,period_margin_q90,low_margin_fraction,high_margin_fraction,edge_coefficient_median,edge_coefficient_q10,edge_coefficient_q90,direct_beat_fmeasure,direct_beat_cmlt,direct_beat_amlt,casm_beat_fmeasure,casm_beat_cmlt,casm_beat_amlt,delta_fmeasure,delta_cmlt,delta_amlt,panel,trace_file
smc/smc_001/track.npy,smc,/media/mengh/SharedData/zhanh/auto_structbeat/caches/8fold/beat_this_fold2_val/smc__smc_001__track.npy.npz,161,50,45,45,0.9,False,0.9473684210526315,0.28000885248184204,0.34818050265312195,0.03351005166769028,0.5089025497436523,0.36024844720496896,0.0,0.7737832015072863,0.08482415652599204,6.440392044284997,0.5945945945945946,0.3695652173913043,0.3695652173913043,0.6376811594202899,0.4878048780487805,0.4878048780487805,0.043086564825695284,0.11823966065747615,0.11823966065747615,bt_smc_oof,bt_smc_oof__smc__smc_001.npz
smc/smc_002/track.npy,smc,/media/mengh/SharedData/zhanh/auto_structbeat/caches/8fold/beat_this_fold4_val/smc__smc_002__track.npy.npz,177,134,133,133,0.9925373134328358,False,0.9962546816479401,0.1374175101518631,0.12593060731887817,0.11242045611143112,0.1747040718793869,0.9717514124293786,0.0,1.0208052421545188,0.8790255305054032,1.5609541636421351,0.45751633986928103,0.0,0.0,0.46052631578947373,0.0,0.0,0.003009975920192698,0.0,0.0,bt_smc_oof,bt_smc_oof__smc__smc_002.npz
smc/smc_003/track.npy,smc,/media/mengh/SharedData/zhanh/auto_structbeat/caches/8fold/beat_this_fold2_val/smc__smc_003__track.npy.npz,170,97,92,92,0.9484536082474226,False,0.9735449735449735,0.25827938318252563,0.26531416177749634,0.1878144830465317,0.3296124041080475,0.13529411764705881,0.0,2.6374552897565815,1.0846892675342137,3.7760727188994303,0.5,0.0,0.5697674418604651,0.5042016806722688,0.0,0.6296296296296297,0.004201680672268782,0.0,0.05986218776916452,bt_smc_oof,bt_smc_oof__smc__smc_003.npz
smc/smc_004/track.npy,smc,/media/mengh/SharedData/zhanh/auto_structbeat/caches/8fold/beat_this_fold5_val/smc__smc_004__track.npy.npz,147,34,35,35,1.0294117647058822,False,0.9565217391304348,0.15651360154151917,0.16697002947330475,0.01799600012600422,0.27701839804649353,0.6190476190476191,0.0,2.3179772200928657,1.0174881960320812,3.6537521079305986,0.5714285714285713,0.45454545454545453,0.45454545454545453,0.59375,0.5454545454545454,0.5454545454545454,0.022321428571428714,0.09090909090909088,0.09090909090909088,bt_smc_oof,bt_smc_oof__smc__smc_004.npz
smc/smc_005/track.npy,smc,/media/mengh/SharedData/zhanh/auto_structbeat/caches/8fold/beat_this_fold0_val/smc__smc_005__track.npy.npz,54,32,30,30,0.9375,False,0.967741935483871,0.1497003585100174,0.16019803285598755,0.05924369767308235,0.2011831492185593,0.8888888888888888,0.0,1.2901173733568692,0.42776106483876747,1.740532514674583,0.39215686274509803,0.6428571428571429,0.6428571428571429,0.40816326530612246,0.7692307692307693,0.7692307692307693,0.016006402561024424,0.12637362637362637,0.12637362637362637,bt_smc_oof,bt_smc_oof__smc__smc_005.npz
smc/smc_006/track.npy,smc,/media/mengh/SharedData/zhanh/auto_structbeat/caches/8fold/beat_this_fold1_val/smc__smc_006__track.npy.npz,51,30,32,32,1.0666666666666667,False,0.9354838709677419,0.17571362853050232,0.16276800632476807,0.01921265199780464,0.3148844838142395,0.6862745098039216,0.0,1.3845465865777322,0.4403044509989425,3.444789276808113,0.8571428571428571,0.5555555555555556,0.5555555555555556,0.8437499999999999,0.5833333333333334,0.5833333333333334,-0.013392857142857206,0.02777777777777779,0.02777777777777779,bt_smc_oof,bt_smc_oof__smc__smc_006.npz
smc/smc_007/track.npy,smc,/media/mengh/SharedData/zhanh/auto_structbeat/caches/8fold/beat_this_fold5_val/smc__smc_007__track.npy.npz,46,35,35,35,1.0,False,1.0,0.14910286664962769,0.14049306511878967,0.11435716599225998,0.18853570520877838,0.9130434782608695,0.0,1.1594908313710282,0.9161618207082999,1.484883065450474,0.6,0.8,0.8,0.6,0.8,0.8,0.0,0.0,0.0,bt_smc_oof,bt_smc_oof__smc__smc_007.npz
smc/smc_008/track.npy,smc,/media/mengh/SharedData/zhanh/auto_structbeat/caches/8fold/beat_this_fold7_val/smc__smc_008__track.npy.npz,96,64,50,64,0.78125,True,1.0,0.13543342053890228,0.1143517792224884,0.047795619815588,0.23738160729408264,0.71875,0.0,0.7514739216631269,0.34119147407587763,2.040948105310535,0.5185185185185185,0.12658227848101267,0.12658227848101267,0.5185185185185185,0.12658227848101267,0.12658227848101267,0.0,0.0,0.0,bt_smc_oof,bt_smc_oof__smc__smc_008.npz
smc/smc_009/track.npy,smc,/media/mengh/SharedData/zhanh/auto_structbeat/caches/8fold/beat_this_fold4_val/smc__smc_009__track.npy.npz,125,112,112,112,1.0,False,1.0,0.11382497847080231,0.10999002307653427,0.09521784782409667,0.13872137665748596,1.0,0.0,0.8623412618362165,0.7435209336639226,1.0812564427549083,0.44274809160305345,0.0,0.0,0.44274809160305345,0.0,0.0,0.0,0.0,0.0,bt_smc_oof,bt_smc_oof__smc__smc_009.npz
smc/smc_010/track.npy,smc,/media/mengh/SharedData/zhanh/auto_structbeat/caches/8fold/beat_this_fold7_val/smc__smc_010__track.npy.npz,53,50,50,50,1.0,False,1.0,0.22202202677726746,0.23538990318775177,0.08502011299133301,0.3208162188529968,0.2830188679245283,0.0,2.265610592693923,0.6507057168806842,3.5162738422050746,0.8888888888888888,0.9777777777777777,0.9777777777777777,0.8888888888888888,0.9777777777777777,0.9777777777777777,0.0,0.0,0.0,bt_smc_oof,bt_smc_oof__smc__smc_010.npz
smc/smc_011/track.npy,smc,/media/mengh/SharedData/zhanh/auto_structbeat/caches/8fold/beat_this_fold0_val/smc__smc_011__track.npy.npz,95,71,62,62,0.8732394366197183,False,0.9323308270676691,0.24035122990608215,0.2443465143442154,0.1767777383327484,0.31770328879356385,0.2,0.0,2.126692946991202,1.3431350677182992,3.416766821294985,0.7652173913043478,0.515625,0.515625,0.8301886792452831,0.6909090909090909,0.6909090909090909,0.06497128794093521,0.17528409090909092,0.17528409090909092,bt_smc_oof,bt_smc_oof__smc__smc_011.npz
smc/smc_012/track.npy,smc,/media/mengh/SharedData/zhanh/auto_structbeat/caches/8fold/beat_this_fold2_val/smc__smc_012__track.npy.npz,132,62,60,60,0.967741935483871,False,0.9016393442622951,0.1309823989868164,0.1291455626487732,0.060061711445450784,0.20683757960796356,0.8484848484848485,0.0,1.1203616123465618,0.6456756788273531,1.8169302086212324,0.5471698113207548,0.5272727272727272,0.5272727272727272,0.576923076923077,0.6792452830188679,0.6792452830188679,0.029753265602322165,0.15197255574614066,0.15197255574614066,bt_smc_oof,bt_smc_oof__smc__smc_012.npz
smc/smc_013/track.npy,smc,/media/mengh/SharedData/zhanh/auto_structbeat/caches/8fold/beat_this_fold5_val/smc__smc_013__track.npy.npz,66,64,64,64,1.0,False,1.0,0.17905490100383759,0.17246469855308533,0.08225011825561523,0.30644167959690094,0.6060606060606061,0.0,1.4902475249160678,0.5846906975210695,3.3045877826502275,0.9464285714285714,1.0,1.0,0.9464285714285714,1.0,1.0,0.0,0.0,0.0,bt_smc_oof,bt_smc_oof__smc__smc_013.npz
