fold,piece_count,beat_fmeasure,beat_cmlt,beat_amlt
0,27,0.6576139596187013,0.6292443559606539,0.7589673472276187
1,27,0.6346532018654655,0.4968758928382665,0.6283558856356327
2,27,0.603440461558341,0.5458821688476948,0.6467650394064913
3,27,0.6288660695842098,0.5627353508966284,0.6093798253325095
4,27,0.6562214835431556,0.5864257947545523,0.6190525433421387
5,27,0.6188606658831249,0.49806055340961813,0.5697707811405487
6,27,0.6680647698520571,0.602913569405638,0.6669796196988784
7,28,0.5691069659256635,0.3828975544515289,0.5864603453765632
